No,URI,Shortname,National?,Capital?,Official,,,,,PlatformType,,,
101,http://data.nantes.fr/,,,,Y,,,,,,,,
102,http://data.gov.hr/,,,,Y,,,,,,,,
103,http://opendata.tarragona.cat,,,,Y,,,,,,,,
104,http://www.datagm.org.uk/,,,,Y,,,,,,,,
105,http://data.wu.ac.at/,,,,U,,,,,,,,
106,http://opendatagortynia.gr/,,,,Y,,,,,,,,
107,http://opendata.cnmc.es/,,,,Y,,,,,,,,
108,http://opendata.awt.be/,,,,Y,,,,,,,,
109,https://data.eindhoven.nl/,,,,Y,,,,,,,,
110,http://opendata.bcn.cat,,,,Y,,,,,,,,
111,http://opendata.cloudbcn.cat,,,,Y,,,,,,,,
112,http://opendata.cornella.cat,,,,Y,,,,,,,,
113,http://opendata.viladecans.cat,,,,Y,,,,,,,,
114,http://transparencia.castillalamancha.es,,,,Y,,,,,,,,
115,http://annuario.comune.fi.it/,,,,Y,,,,,,,,
116,https://opendata.government.bg,,,,Y,,,,,,,,
117,http://data.fingal.ie/ViewDataSets/,,,,Y,,,,,,,,
118,http://data.visitprovence.com/,,,,Y,,,,,,,,
119,http://opendata.terrassa.cat/VW_Principal.aspx,,,,Y,,,,,,,,
120,http://www.dados.gov.pt,,,,Y,,,,,,,,
121,http://opendata.elprat.cat/elprat/es/catalog,,,,Y,,,,,,,,
122,http://www.valencia.es,,,,Y,,,,,,,,
123,http://opendata.enschede.nl,,,,Y,,,,,,,,
124,http://apigobiernoabiertocatalog.valencia.es/,,,,Y,,,,,,,,
125,http://data.enel.com/dataresults,,,,N,,,,,,,,
126,http://www.leedsdatamill.org/,,,,Y,,,,,,,,
127,https://www.tirol.gv.at/,,,,Y,,,,,,,,
128,http://opendata.santfeliu.cat/,,,,Y,,,,,,,,
129,https://sede.minetur.gob.es/,,,,Y,,,,,,,,
130,http://opendata.badalona.cat/,,,,Y,,,,,,,,
131,http://observatori.santboi.cat,,,,Y,,,,,,,,
132,http://www.lemans.fr,,,,Y,,,,,,,,
133,https://data.overheid.nl/data/,,,,Y,,,,,,,,
134,http://www.opendata.larochelle.fr/,,,,Y,,,,,,,,
